症状,所属证候,证候所有症状
牙龈溃烂,走马牙疳,初起时，牙艱边缘或颊部硬结发红，一、二日间即腐烂，呈灰白色，随即变成黑色，流出紫色血水，气味臭恶，腐烂部不痛不痒，舌质红，舌莒黄腻，脉象数。毒火盛者，黑腐驀延，不数日间，鼻及鼻翼两旁或腮和口唇周围出现青揭色，这是里面腐烂巳深的证候。严重者唇烂齿落，腮穿腭破，鼻梁塌陷。腐烂严重者，兼有恶寒发热，饮食不进，泄再气喘，神昏等全身症状。若黑腐易去，内见红肉而流鲜血，身热渐退，虽齿落腮穿见骨，仍有挽救希望；若正气大虚而邪毒过盛，常易导致死亡
牙龈出血,胃火燔龈齿衄,"齿銀出血如涌，血色鲜红，兼有齿龈红肿疼痈，口气臭秽，口渴喜冷饮，便秘，脉洪数有力，舌质红赤，苔黄腻。
"
牙龈出血,胃热阴虚齿衄,齿龈出血，血色淡红，兼有口渴，五心烦热，便结，脉细数无力，舌质光红少津，苔薄且干
牙龈出血,肾阴虚火旺齿衄,"齿龈出血，血色淡红，齿摇不坚，伴漸热，盗汗，脉细数，舌红苔黄少津。
"
牙龈出血,脾不统血齿衄,齿龈出血，血色渐红，银肉色淡，全身有散在出血点或紫癍，脉象缓或欞数，舌体胖大，舌质淡，苔薄白。
牙龈蒌缩,胃火燔龈牙龈蒌缩,艱肉蒌缩腐頹，牙根宣露，伴有口臭、口漘、喜凉饮，大便秘结，脉滑数，舌质红，苔黄厚
牙龈蒌缩,肾阴虚牙龈蒌縮,牙餵萎缩溃烂，边缘微红肿，牙根宣露，伴牙齿松动，头晕耳鸣，睡疫，手足心热，脉细数，舌红苔少。
牙龈蒌缩,气血两虚牙龈蒌缩,牙龈蒌缩，颜色淡白，牙齿松动，伴抻疲无力，头昏目花，失眠多梦，脉沉细，舌质淡，苔簿白
牙齿焦黑,下焦热盛牙齿焦黑,"牙齿焦黑，热深不解，口干舌燥，手指钃动.脉沉数，舌苔干而灰黑。
"
牙齿焦黑,胃火燔齿牙齿焦黑,"牙齿焦黑，上附污垢，伴咽干口渴，烦躁不眠，或腹满便秘，脉数，舌绛。
"
牙齿焦黑,风冷客经牙齿焦黑,牙齿黄黑干燥，伴齿根浮动，限膝痠软，脱发，咏沉弱，舌质淡黯，苔薄白。
四肢疼痛,风邪阻络四肢疼痛,四肢关节走注疼痛，痛无定处，而以臃、肘、膝、媒等处为多见，关节屈伸不便，或兼见寒热表证，舌苔薄白或脯，脉多浮。屑行辨。
四肢疼痛,寒邪阻络四肢疼痛,四胲关节冷痛，痛处不移，形寒肤冷，局部皮肤颜色不红，通寒加重，得温痛减，舌苔白，脉弦紧。屑痛辨。
四肢疼痛,湿邪狙络四肢疼痈,关节痠楚疼痛，重着不移，或肌肤麻木不仁，日久失治则肌肉挛急，骨节变形，致成残废，苔白腻，脉浦缓。
四肢疼痛,热邪阻络四肢疼痛,四肢关节疼痛，局部锨红肿胀丨兼有发热、口漘、烦臟、舌红苔黄燥’脉数。
四肢疼痛,湿热阻络四肢疼痛,关节红肿，小溲赤浊，四肢困重疼痛，可伴有肌肤红色结节，舌红苔黄腻，脉滑或潘数
四肢疼痛,气血亏虚四肤疼痛,关节疫痛，劳累后加重，可见肌肉瘦削，面色苍白，唇甲淡白无华，少气懒言，神疲倦息，眩畢，長风自汗，脉细弱，舌质淡，苔薄。兼挟疲血则关节疼痛如锥剌，痛处不移，拒按，肌肤甲错，形体羸瘦或关节变形拘急，舌质轚而有瘀点，苔薄腻，脉细涩。兼痰浊则肢臂疼痈，身体困重，首如裹，舌质胖，苔白腻，脉弦滑。
四肢疼痛,肝肾亏虚四肢疼痛,筋骨弛缓或拘急、痠痛，头目眩晕，爪甲枯艙，腰膝痠软，耳鸣失聪，齿摇发脱，阳痿遗泄，尺脉弦细沉弱。偏阴虚则四肢关节热痛喜冻，骨痛夜甚，颧红唇赤，舌质鲜红少苔，或红绛少津。偏阳虚则兼见两足浮肿无力，大便搪泄，小搜淸长，手足不温
四肢麻木,风中经络四肢麻木,四肢麻木伴有疼痛，遇天阴寒冷加重，兼有恶风寒，手足发凉，腰膝痠沉，舌质淡费，苔白润，脉浮或弦。
四肢麻木,气血两虚动风四肢麻木,四肢麻木，抬举无力，面色蒌黄无华，伴有气短心慌，头舉目眩，唇甲色淡等，舌质淡红，苔薄白，脉细弱。
四肢麻木,气滞血瘀四肢麻木,四肢麻木伴有郁胀剌痛，面色晦暗，口膊发紫，舌质可见紫色瘀斑，舌苔薄偏干，脉涩。
四肢麻木,肝阳化风四肢麻木,四肢麻木伴有震麵，并有头晕欲仆，烦躁，易怒，失联多梦等，舌红，脉弦有力。
四肢麻木,风痰阻络四胺麻木,四肢麻木伴有痒感，或兼见不时震颤，并有头眩，肩背沉重，或见呕恶.痰多等，舌质偏鼙，苔腻，脉弦滑或濡。
四肢麻木,湿热部阻四肢麻木,四肢麻木伴有肢体重痛，口不甚渴，甚则两足欲政凉地，苔黄腻，脉弦数或霈数
四肢瘦剖,脾胃虚弱四肢瘦剖,"多见于青少年丨四肢瘦削，以肩臀郁为明显，上肢无力，下肢行走如鸭步，足踝内躕或外拥，足背呈弓形，面色苍白，神疲倦怠，纳食少罄，少气供言，语声低傲，舌淡苔白边有齿痕，脉细软。
"
四肢瘦剖,肾精亏虚四肢瘦削,多见于婴儿，肌肉瘦削，手不能举，足不能立，发育缓慢，智力低下，常伴五迟〔立迟、行迟、齿迟、发迟、语迟》、五软（头项软、口软、手软、足软、肌肉软〉症，舌淡苔白，脉沉细。
四肢瘦剖,肝肾阴虚四肢瘦削,"肌肉瘦削，四肢无力而颤抖，步雇政轮，筋锡肉哨，甚则语言謇涩，吞咽时见呛咳，赝疲腿软，头晕目糊，五心烦热，夜寐不安，舌红少苔，脉细数或弦细
"
四肢瘦剖,脾肾阳虚四肢瘦削,肌肉瘦削，四肢无力，肌冷形寒，大肉脱陷，耳鸣耳聋，腰瘦腿软，遗精阳瘘，澳清便溏，舌淡胖，苔薄白，脉沉迟
四肢瘦剖,气血两虚四肤瘦削,肌肉瘦削，面色苍白，神疲困惫，头晕眼花，心掙气短，自汗盗汗，纳食少进，舌淡少苔，脉微细。
四肢肿胀,湿热蕴结四肢肿胀,四肢肿胀，关节肿痛，肌肤灼热，皮色发红发亮，兼见发热，畏风，口渴，烦闷不安。舌苔黄腻少津，脉滑数
四肢肿胀,气滞肌表四肢肿胀,四肢浮肿，自觉发胀，肤色苍白，按之即起，似有薄性，或兼见胸胁胀闷，善太息等。舌质淡，苔白，脉弦
四肢肿胀,寒湿凝滞四肢肿胀,四肢关节疼痛，痛有定处或下肢尤重，四肢肿胀，手足笨重，活动不便。舌质淡，脉漘缓
四肢肿胀,气虚血瘀四肢肿胀,四肢肿胀，按之难起，手足淸冷，或肢体麻木不仁、举动无力；或见双下肢肿胀，皮肤有紫色瘀斑；甚至可见半身不遂等。舌淡白，或有瘀斑，脉弦涩。
四肢强直,风寒湿阻四肢强直,多表现为痹痛日久，四肢关节强直，不能屈伸，关节固定，关节、肌肉疼痛，时有肿胀，日久可见肌肉瘐削。风气胜者，四肢走窜疼痛；寒气胜者，四肢冷痛不移；湿气胜者，重着、痠楚疼痈。舌淡白，苔白或腻，脉沉弦紧，或弦滑
四肢强直,风邪入侵四肤强直,发热恶寒.头项强硬，四肢强直，骨节疼痈，甚则角弓反张、口噤不开，舌苔白腻，脉弦紧。若为风热或风邪化热，则有高热、舌红、苔黄、脉数。
四肢强直,湿热阻络四肢强直,"多伴有湿热痨痛症状，迁延日久则四肢強直，四肢关节不得屈伸，关节红肿疼痛，足媒部肌肤可见多数结节性红斑，病人身热，肢体困重，日久可见四肢肌肉瘦削，关节掀红肿大，舌边红体胖，苔黄賦，脉弦滑数。
"
四肢强直,痰热动风四肢强直,"多突然发病，四肢过度伸直，强硬而不能屈曲，颈项强直，并可有阵阵抽搐，面红气粗或有发热，神识不清，喉有痰鸣，舌红苔黄腻，脉弦滑数。
"
四肢强直,肝阳化风四肢强直,平索即有肝阳偏亢症状，如头晕头痛，耳鸣目眩，心烦易怒，面红目赤等。偶有激发则突然舌强语蹇，神识不请，呼吸气粗，继之迅速发展为半身不遂或双俩上下肢皆过度伸直而强直，然手腕常屈曲，手指并拢，亦可有阵阵抽搐，舌红脉弦数
四肢强直,肝肾亏虚四肢强直,"病人头晕目眩，耳鸣如蝉，失眠健忘，心烦易怒，哭笑不能自制，神佾呆滞，智能低下，如癲如痴，甚至神识不清，四肢渐次强直，吞咽打呛，下肢伸直强硬而两手屈曲，抻昏而目不瞑，舌淡红，脉弦细无力，尺脉尤弱。
"
四肢强直,血瘀气滞四肢强直,多先有外伤、中毒，后遗四肢伸直强直，不能屈曲，眼开而抻昏不识人，不能语言，二便失禁，日久肌肤甲错，舌淡红，可有瘀血斑点，苔薄白，脉沉细涩。日久可见面白、自汗、舌淡白等症状
四肢强直,阳气虚衰四肢强直,四肢强直，面色晚白，手足厥冷，神识不清，默默不语，目开而不识人，四肢可偶有瞋动，二便失禁，舌淡苔薄白而润，脉沉细涩结。
四肢拘急,风寒束表四肢拘急,四肢拘急，发热恶风寒，项背强几几，有汗或无汗，头身痛，舌苔薄白而润，脉浮紧
四肢拘急,寒湿苔结四肢拘急,四肢拘急，首如裹，四肢困重.脘闷纳呆，面虚浮而晦滞，手足逆冷，或伴骨节、肌肉重着痠痛，舌淡胖，苔白腻，脉沉迟
四肢拘急,湿热浸淫四肢拘急,四肢拘急挛紧，身热肢困，头重如裹，脘闷纳呆，泛恶欲呕，手足心热，小溲色黄，舌质红胖大，苔黄腻，脉滑数
四肢拘急,热盛伤津四肢拘急,四肢拘急，甚则抽搐，发热壮盛，颈项牵强，尿短赤，便燥结，或昏狂、进语，目上视，头动摇，唇红咽干，舌红、苔黄燥，脉弦数。
四肢拘急,亡阳液脱四坡拘急,四肢厥冷而拘急，呕吐，泻利，漏汗不止，恶寒，舌淡白，薄白苔，脉沉或微细
四肢拘急,肝血亏虚四肢拘急,"四肢拘急，目视昏花，头晕耳鸣，肌肤麻木，筋惕肉瞒，指甲淡白，舌质淡，脉弦细
"
四肢抽搐,风邪闭阻四肢抽搐,四肢柚搐，发热恶寒，项背强急，筋脉拘挛，肢体痠重或疼痛，舌苔白滅或微黄，脉弦紧或数
四肢抽搐,风痰挟瘀四肢抽搐,发作性抽摘，或口作六畜叫声，两目上视，口吐涎沫，四肢先强直痉挛，继之屈伸阵挛，二便失禁，神识不清，发作后一如常人。舌苔白腻，脉弦滑。亦可先有外伤，以后抽搐，病人可兼见头部外伤斑痕，舌具瘀血斑。
四肢抽搐,阴虚阳亢生风四肢抽搐,擻怒后四肢抽搐，视物不淸，腰痠腿软，麻木拘急，耳鸣眩晕，五心烦热，颧红唇赤，肌肤热夜甚，舌红少苔，脉弦细数。
四肢抽搐,热极或湿热生风四肢抽搐,四肢抽搐或瘛疚不已，壮热口渴，面红气粗，颈项强急，角弓反张，两目上视，常伴有神昏谱语，尿黄便干，舌红苔黄，脉数实。如为湿热动风，则兼见热势缠绵，首重如裹，舌红辟大，苔黄腻，脉滑数
四肢抽搐,脾肾阳虚四肢抽搐,四肢抽动不已，形寒肢冷，面白目清，水肿，纳呆’便塘，赝‘痠腿软，口淡不渴，尿洧长或尿少，舌质淡，体胖大’有齿痕，苔白腻，脉沉迟或沉缓
四肢抽搐,肝郁血虚四肢抽擄,"四肢抽瘅，伴有手足舞动，多愁善感，多梦不寐，胸闷不舒，喜长太息，通精神剌激则捶胸顿足，哭笑间作，或卒然仆倒，舌淡，脉弦细。
"
四肢抽搐,血虚生风四肢抽搐,手足徐徐抽动，体质索虚，面色苍白或蒌黄，肢体麻木，筋锡肉确，口唇指甲淡白，舌淡苔白，脉弦细，其手抽搐似鸡爪状，俗呼“鸡爪风"者亦厲之。
四肢抽搐,中毒所致四肢抽搐,误服毒性药物，如马钱子过量^或接触化学毒品中毒，致四肢抽搐，因毒邪性质不同，抽搐及其兼征之表现亦各有异
手舞足蹈,外感风邪手舞足蹈,发热恶风寒，手足舞动多突然发生，四肢及躯干扭动，辗转反侧，抽动不宁，片刻不停。手足舞动急促，不能自制，常抓伤自己，或碰伤手足。由于手足舞动，手不能握，足不能立，步履艰难。伴见头面部，眼、鼻、口角扭动，如作"鬼脸”，进食困难，语言謇涩，入睡方止，苏醒如故。舌质红，舌苔薄白或微黄，脉浮数或数实。
手舞足蹈,肝肾阴虚手舞足蹈,手足舞动，头颈扭转，挤盾弄眼，且筋脉多拘急，面颧红赤，眩晕耳鸣，目视不明，睡疫腿软，手足心热，虚烦不寐，尿短赤，便燥结，舌红苔少，脉沉细数或弦细
手舞足蹈,气血亏虚手舞足蹈,神疲倦怠，少气懒言，声低语怯，面色苍白，口唇及爪甲淡白，畏风自汗，渐有手舞足蹈，且逐渐加重，四肢筋脉弛缓，麻木无力，终致生活不能自理，舌淡白，咏虚，或细弱无力
手舞足蹈,肝郁血虚手舞足蹈,"多见于妇女，衆有心烦易怒，精神抑郁，脚闷不舒，螫长太息，多愁善感，易于激动而流泪等症状。通有忧思恚怒则喜笑不休，或痛哭不止，手舞足蹈，感情浓郁，状如演员，乍作乍休，不寐，多梦，易惊。舌淡白，脉弦细。
"
手舞足蹈,肾精亏虚手舞足蹈,多见于成人，开始先有局部抽动，以后逐渐发展，终致手舞足蹈，多伴有健忘，日久则神情呆滞，沉默寡言，如癉如痴，兼见耳鸣眩晕，腰痠腿软，足胫无力，步堰艰难，舌淡白，尺脉沉弱
手舞足蹈,妇女妊娠手舞足蹈,手足舞动，头面皆可扭动，其表现与上述之各种手舞足蹈症状相同，舌淡白，脉滑或弦滑。
手足厥冷,阳虚肾寒手足厥冷,简称“寒厥”。手足厥冷，甚则厥逆，形寒踡卧，腰膝冷痛，或下利清谷，或骨节疼痛，舌质淡，苔薄白而润，脉迟
手足厥冷,热极肢厥手足厥冷,简称"热厥”。手足厥冷，无汗髙热，面赤心烦，口渴引饮，瞄睃灼热，大便秘结，小便短赤，舌质红绛，苔黄厚干燥，脉沉数或滑数
手足厥冷,阳气郁阻手足厥冷,手足厥冷，兼见胸胁苦满，嗳气不舒，呕吐下利，或腹痛、或咳、或悸、或小便不利，苔薄白，脉弦
手足厥冷,血寒凝滞手足厥冷,厲"寒厥"中的一种。手足厥冷，四肢发凉，形寒身痛，得热痛减’舌质淡红，苔薄白滑润，脉沉细
手足厥冷,痰浊内阻手足厥冷,简称“褒厥”。手足厥冷，胸脘满闷，喉间痰声漉澳，或呕吐痰涎，饥不欲食，舌苔白腻，脉沉滑有力或乍有紧时
手足厥冷,虫扰胆府手足厥冷,简称“埋厥”。手足厥冷，上腹阵痛，呕吐淸水或吐蟵，或有烦渴.舌质淡或黯，舌苔薄润，脉沉细或沉弦
肢体瘘废,肺热津伤瘘废,四肢瘘弱无力，渐致痿废不用，可发于上下肢，尤以下肢多见，严重者可见肌肉赛缩，肢体变形。或伴有发热咳嗽，鼻干咽燥，心烦口渴，小便短赤，舌质红，舌苔黄，脉细数。
肢体瘘废,湿热侵淫痿废,初为四胺感觉异常，继而手足瘘软无力，手足下垂，不堪任用，肢体困璽麻木，胸脘痞闷，大便粘浊，小便赤浬热痛，舌苔黄腻，脉滑而数。
肢体瘘废,脾胃气虚瘦废,四肢软弱无力，渐致缓纵不收，肌肉枯蒌瘦削，伴见神疲倦怠，食少便溏，或久挥不止。面目虚浮无华，心悸失眠，舌质淡，脉细弱无力。气虚日久不愈，可发展为阳虚而出现畏寒肢冷，面色桄白，完谷不化，小便淸长等症状。
肢体瘘废,肝肾亏拫痿废,双侧或一侧下肢感觉陣碍，或痛觉消失.渐致下肢痿废不用，睽脊痠软，头睪耳鸣，遗精滑泄，或月经不调。舌淡红少苔，脉沉细或细数。
肢体瘘废,瘀血阻滞凄废,四肢软弱无力，或麻木不仁，筋脉抽掣，甚者蒌枯不用，或四肢脉络靑紫，舌紫唇青或舌见褒斑，脉涩滞
,风胜行痹关节疼痛,肢体关节疼痛痠楚，呈游走性，不局限于一处，关节屈伸不利，伴恶风发热，舌苔薄白，脉浮数。
关节疼痛,寒胜痛痹关节疼痛,"肢体关节疼痛剧烈，甚如刀割针刺，遇寒加重，得热则缓，痛处较为固定，日轻夜重，关节不可屈伸，关节局部不红不热，苔薄白，脉浮紧。
"
关节疼痛,湿胜着痹关节疼痛,"肢体关节疼痛，痛处较为面定，且有明显重着感，伴肌肤麻木不仁或患处肿胀，行动不便，得热得按则痛可稍缓，舌质淡、苔白腻，脉濡数。
"
关节疼痛,湿热阻瘠关节疼痛,肢体关节疼痛，痈处锨红灼热，肿胀疼痛，剧烈而拒按，曰轻夜重伴发热，口渴，心烦，恶热喜冷，舌红苔黄，脉滑数。
关节疼痛,瘀血阻络关节疼痛,肢体关节疼痛，痛如针剌，痛有定处而拒按，日轻夜重，舌质紫暗或有瘀斑，脉涩
关节疼痛,气血两虚关节疼痛,四肢关节痠痛，劳累后加重，可见肌肉瘦削，面色苍白，唇甲色淡无华，少气懒言，神癍倦怠，脉细弱，舌质淡苔薄。
关节疼痛,肝肾亏虚关节疼痛,关节痠痛，不耐久立或筋骨弛缓，头晕眩晕，跟膝痠软，耳鸣，偏阴虚者，关节热痛審凉，入夜痛甚，顴红，舌红少苔，脉细数，偏阳虚者，肢冷不温，大便塘，小便清长，两足浮肿无力
关节变形,气滞血挤关节变形,关节变形，疼痛如针刺刀割，痈有定处，拒按，或伴关节肿胀，活动受限，舌质睹或有瘀点，脉细涩
关节变形,痰瘀辨阻关节变形,痹证历时长久，反复发作，骨节僅硬变形，关节疼痛剧烈，不可屈伸，或疼痛麻木，或红肿疼痛，舌质紫暗有瘀斑，脉细涩。
关节变形,肝肾亏虚关节变形,痹证日久不愈，骨节疼痈，关节僅硬变形，筋脉拘急牵引，形疲乏力’盗汗，烦躁，头晕耳鸣，日晡渐热，腰膝痠软，关节可见红肿灼热，日轻夜重，舌红少苔，脉细数。
肩痛,风寒肩痛,为肩痛比较轻者，病程较短，疼痛程度也轻，疼痛性质为钝痛或隐痛，不影响上肢的功能活动。疼痛的范围或局限于肩部，或影响肩后部而牵掣胛背，或在肩前部而影响上臂，往往项背或上臂有拘急感。肩部感觉发凉，得暖或抚库则疼痛减轻。舌苔白，脉浮或正常
肩痛,痰湿肩痛,肩部及其周围筋肉疼痛剧烈，病程较长。肩关节功能活动虽然正常，但因疼痛剧烈而不敢活动，动则疼痛更甚，经久不愈可造成肩关节活动瘅碍。肩部感觉寒凉，畏冷，得暖虽疼痛可暂时减轻，逾时则疼痛、寒凉感觉仍旧。因疼痛剧烈，往往彩响患者的睡眠、饮食及正常工作。常因疼痛剧烈而汗出。因病程较长，患者往往兼有气虚症状，如自汗、短气、不耐劳、易感冒等。舌质淡、苔白、脉弦或弦细。
肩痛,瘀血肩痛,若因闪扭所致，则有明显外伤史。若无闪扭外伤，肩痛剧烈，疼痛性质为刺痛，虽经温经散寒、祛风湿止痛等法治疗，但获效甚微，经久不愈的，亦为瘀血肩痛。闪扭瘀血肩痛可有轻度肿胀或无肿胀，其闪扭损伤局部压痛明显。久病瘀血肩痛则无肿胀，疼痛范围比较广泛，也无明显压痛点。二者均可因疼痛而引起肩关节活动轻度障碍
肩不举,痹痛肩不举,较为严重的肩痹疼痛，经久不愈可导致肩不举。此证肩痛症状先发生，肩痛日久不除遂并发肩不能抬举。肩部常觉寒凉，畏冷，喜暖，得暖虽疼痛可暂时减轻，逾时则疼痛寒凉慼觉依旧。因病程较长，往往肌肉萎缩、经筋僅硬。舌质淡、苔白，脉弦或弦细。可参见“肩痛”条
肩不举,肩凝肩不举,又称肩凝、冻结肩、漏肩风、五十肩。此证发生于老年人，尤以50岁以后多见。多发于一侧，间或有两侧同时发病者。患者常常不能叙述出明显原因，忽然感觉肩部疼痛及肩关节功能活动障碍。症状发展较为缓慢，数日或数月时间内，肩关节功能即发生严重昧碍，遂致上肢不能抬举，而且疼痛亦随肩关节功能活动障碍程度的不断发展而日益加重。白天疼痛尚可忍受，入夜疼痛剧烈而影响睡眠，甚至不能入睡。越痛而肩臂越不敢抬举，肩关节越不活动，疼痛也越剧烈，甚至“近之则痛剧”，形成了恶性循环。疼痛多连及上臂以及肘手部位。日久不愈，则肩臂筋肉蒌缩、僵硬，以致肩关节完全不能活动，故搛头、穿衣、脱衣均感困难。肩部发凉，手心常自汗出。脉细，舌象无明显改变，若兼有气血不足，则舌质淡白，若兼有瘀血，则舌紫贿或有瘀斑
肩不举,胸供肩不举,此证为肩不举之较重者。患者索有胸痹证，短气、心悸、胸闷、心前区痛、甚至胸痛彻背且多有瘀血症状表现，胸痛性质为剌痈，舌质紫黢或有浓斑。通常发生于老年人。肩痛，同时患侧手指肿胀疼痛，肩不能举，同侧手指因疼痛、肿胀也不能屈伸。疼痛剧烈，入夜尤剧，甚至彻夜难眠。但肘关节常不受彩响。患側上肢多汗，以手部汗出较多。病久不愈，上胺肌肉蒌缩，手指及指甲呈蜡黄色，强直变形（多呈屈曲状）而不能屈伸
肩不举,损伤肩不举,成人因闪扭拫伤肩部筋肉，而致肩关节功能活动障碍不能抬举的，必有明显损伤史，损伤局部可有肿胀，有的也可没有肿胀形迹，局部压痛明显。发病突然，病程较短，随着闪扭损伤的痊愈，肩部功能活动也就随之而愈了。若为儿童，尤其是学龄前的5~7岁儿童，忽然患上肢不能抬举，勉强被动抬举则痛不可忍，患儿欲使病侧上肢抬举，先向患侧倾斜躯体，接着再向健侧倾斜，借躯体的左右摆动，勉强将患肢“悠起”，但上肢活动范围仍然不能达到与肩平齐。仔细诊视，可见肩部微肿，或有轻度青紫瘀血，肱骨上端有明显压痛，此为儿童肱骨上端无移位骨折的特有表现。
臂痛,风寒湿阻臂痛,膂部肌肤、筋脉、关节疼痛，或痠胀胂麻。风胜者疼痛走窜，时上时下，苔薄白，脉浮；寒胜者疼痛较甚，局部肤冷，筋脉牵强，苔白，脉紧；湿胜者疼痛璽宥，局部擻肿，苔白腻，脉灞;热胜者疼庸揪热，局部红肿，苔黄，脉数
臂痛,气血两虚臂痛,臂部痠痛麻木，以痠麻为主，肤体无力，肌肤不泽.并见头晕目眩，神痤乏力，纳谷少馨，舌淡苔薄，脉细弱
臂痛,瘀血阻滞臂痛,臂痛，局部肿胀，苔薄、脉弦。若久病气虚，血行瘀滞，可见局部肌肤不仁，肌肉蒌縮，舌苔薄腻，或边有瘀点，脉细弦或细涩
臂痛,痰湿流注臂痛,臂痛肤重，肤胀微肿，并见形寒肢冷，眩晕泛恶，胸闷便擴，口不溻，舌淡胖，苔白腻，脉沉潜或漘缓
手指挛急,血不养筋手指挛急,手指挛急兼有麻木感，面色少华，眩晕，皮肤不泽，神疲乏力，膊舌淡，苔薄白^脉弦细无力
手指挛急,血燥筋伤手指挛急,手指挛急兼有灼热感，皮肤干燥，口唇皲裂，口渴欲饮，心顼，便秘，舌红津少，无苔或少苔，脉弦细数
手指挛急,寒滞经脉濡手指挛急,手指挛急兼痠楚疼痛，畏寒肢冷，通阴雨天加剧，舌雕红，苔薄白润，脉弦紧，或弦滑
手颤,肝风内动手颤,手震颤不已，伴有头晕头痛，烦躁不眠，舌红少苔，脉弦数有力，或沉细数。
手颤,风痰入络手颤,手颤兼有麻木，胸胁满闷，干呕恶心，口粘，时有烦怒，舌苔白腻，脉弦滑。
手颤,风寒袭络手颤,"手颤兼有痛感，恶风寒，颈项不舒，有汗或无汗，舌苔薄白，脉浮
或弦紧。
"
手颤,脾虚动风手颤,手颤迟缓，握力减弱，四肢困倦，或伴有腹胀泄泻，舌体胖大，舌质淡，苔薄白’脉搏沉缓无力或弦缓。
手颤,血虚风袭手颤,手额发麻，面白无华，头眩，心择，失眠，唇舌淡白，苔薄白，脉细无力。
手颤,阴虚风内动手颤,手指铺动，神疲心律，口咽发干，形体消瘦，舌红绛，少苔或无苔，脉细数。
朱砂掌,肝肾阴虚朱砂掌,手掌大小鱼际肤色鲜红.低热或午后潮热，头晕耳鸣，形体消瘦，面色灰暗.失眠多梦，口干舌燥，齿銀出血.小便黄赤，舌质红而瘦小、舌苔少或无苔’脉细数。
朱砂掌,褒血内阻朱砂掌,手掌大小鱼际肤色暗红，面色黧黑，两胁下痛块，质硬、剌痛，瞋部靑筋外鏘，颈项和胸部常见蛛纹血丝，齿衄或鼻衄，舌质暗红瘦小而少苔丨脉沉弦或弦大。
股阴痛,湿热浸淫股阴痛,证见股阴部切割祥、灼热疼痛，常可痛及外阴，兼见身热不扬，四肢困重，面黄虚浮，妇女可有赤黄带下，亦可兼见痛处红肿或外阴渗出黄水，常伴有肌肤不仁。如为双侧则形成马鞍型疼痛及麻木区，舌红胖大，苔黄腻，脉滑数。日久可足下肢痿软，尿涩痛或淋沥。
股阴痛,寒湿浸淫股阴痛,股阴部抽掣或拘急冷痛，兼见首如塞，四胺困重，面色晦滞，顔面虚浮，手足苍白而冷，妇女尚可见带下清稀，可伴见肌肤不仁，少数病人可于股内侧形成阴疽，亦可摧及双侧阴股，麻木疼痛，日久可见足跗肿，两下肢无力，舌体胖大，淡白或晦滞，苔白厚腻，脉沉滑缓。
股阴痛,气虚血褒股阴痛,平素气虚，面色苍白，口唇指甲淡白，舌淡白，畏风自汗，少气儎言，精神疲急，股阴剌痛，或可有麻木，肌肤苍白，汗毛脱落，或可见肌肤暗红，粗糙，可伴尿失禁，脉细涩。
股阴痛,肾阳虚衰股阴痈,"病人多见于股阴寒痛日久，腰疫，足膝无力，股阴部抽掣冷痛，
常可连及阴囊I有时遗尿或胶肛，重则下肢无力或肌肉瘦削，耳鸣失聪，尺脉弱。
"
腿肿痛,寒湿阻滞腿肿痛,两膝肿痛，或一拥肿痛，通寒加剧，关节不得屈伸，皮色不变，身体沉重，恶风不欲去衣，脉弦紧或弦迟，苔白滑
腿肿痛,湿热阻痹腰肿痛,"两腿或单腿肿痛，扪之发热，足心欲踏凉地丨小便短赤，大便
干，脉弦滑数，苔黄腻。
"
腿肿痛,瘀血阻络腿肿痛,双侧或一侧腿肿胀痛，或肸胀刺痛，按之痛甚，皮肤失柔，或皮色黯紫，脉沉涩，舌紫黯或舌边有瘀斑
膝肿痛,气血两虚膝肿痛,膝部肿痛，四肢痠软无力，面色赛黄，头晕，心博，舌质淡红或嫩红，舌苔薄白，脉沉细。
膝肿痛,肝肾虚损膝肿痛,两膝肿大疼痛，腰疫痛，下肢肌肉消瘦，步履艰难，头晕神疲，舌体瘦或胖大，舌质淡或黯，苔薄白，脉沉细无力。
膝肿痛,湿热阻滞膝肿痛,两膝肿大疼痛，局部扪之有热感，面色黄并浮有油垢.小便色黄，大便先干后溏，舌质嫩红，苔薄黄，脉滑数或漘数
膝肿痛,寒湿阻滞膝肿痛,两膝肿大，疼痛较剧，难以行走，形寒肢冷，面色白中略带靑，舌质紫黯，苔白滑，脉沉紧或沉迟
膝肿痛,热毒蕴结膝肿痛,膝关节红肿灼痛，势如虎咬，屈伸困难，伴有身热心烦，口渴，小便短赤，大使干结，舌质赤，苔黄偏干，脉滑数
膝肿痛,湿毒鼉结膝肿痛,膝关节漫肿沉痛，兼有头沉身重，胺体困胀，院腹满闷，时有呕恶，大便不实，舌质淡红或淡無，苔白腻而润，脉沉缓或弦滑
胫痠,肾气虚胫痠,两胫发疫，局部有风吹样凉感，腰膝软而无力，伴面色黧黑，气短，小便频数，溺有余浙，或伴有阳瘘，脉沉弱，舌质淡红，苔薄白
胫痠,肾阴虚胫瘘,两胫发疫，且有灼热感，五心烦热，头荦耳鸣，伴面色漸红，口咽发干，夜梦遗精，脉细数，舌红少苔。
胫痠,湿热下注胫痠,两胫发疫，且有郁胀疼痛感，扪之发热，伴面色蒌黄，浮有油垢。小便短赤，脉潘数，舌苔黄腻
